code,category,name,seisiki_name,tosyo_category,start_day,start_FY,company_url,post_code,address,head_prefecture,category_with_code,stock_market
7608,生活関連用品卸,エスケイジャパン,（株）エスケイジャパン,卸売業,1989年12月14日,1989年度,http://www.sk-japan.co.jp/,〒542-0081,大阪市中央区南船場１－１３－２７アイカビル,大阪府,6050_卸売業,東証１部
7609,建材・電気機械・金属卸,ダイトロン,ダイトロン（株）,卸売業,1952年6月24日,1952年度,http://www.daitron.co.jp/,〒532-0003,大阪市淀川区宮原４－６－１１,大阪府,6050_卸売業,東証１部
7610,専門店・ドラッグストア,テイツー,（株）テイツー,小売業,1990年4月16日,1990年度,http://www.tay2.co.jp/,〒700-0974,岡山市北区今村６５０－１１１,岡山県,6100_小売業,東証JQスタンダード
7611,飲食店,ハイデイ日高,（株）ハイデイ日高,小売業,1983年10月22日,1983年度,http://www.hiday.co.jp/,〒330-0846,さいたま市大宮区大門町３－１０５,埼玉県,6100_小売業,東証１部
7613,建材・電気機械・金属卸,シークス,シークス（株）,卸売業,1992年7月1日,1992年度,http://www.siix.co.jp/,〒541-0051,大阪市中央区備後町１－４－９,大阪府,6050_卸売業,東証１部
7614,総合小売・食料品小売,オーエムツーネットワーク,（株）オーエムツーネットワーク,小売業,1989年7月19日,1989年度,http://www.om2.co.jp/,〒105-0012,東京都港区芝大門２－４－７,東京都,6100_小売業,東証JQスタンダード
7615,衣料品・服飾品小売,京都きもの友禅,京都きもの友禅（株）,小売業,1971年8月5日,1971年度,http://www.kyotokimonoyuzen.co.jp/,〒103-0011,東京都中央区日本橋大伝馬町１４－１,東京都,6100_小売業,東証１部
7616,飲食店,コロワイド,（株）コロワイド,小売業,1963年4月19日,1963年度,http://www.colowide.co.jp/,〒220-8112,横浜市西区みなとみらい２－２－１ランドマークタワー,神奈川県,6100_小売業,東証１部
7618,家電小売,ピーシーデポコーポレーション,（株）ピーシーデポコーポレーション,小売業,1994年8月11日,1994年度,http://www.pcdepot.co.jp/,〒222-0033,横浜市港北区新横浜３－１－９,神奈川県,6100_小売業,東証１部
7619,建材・電気機械・金属卸,田中商事,田中商事（株）,卸売業,1962年12月7日,1962年度,http://www.tanakashoji.co.jp/,〒140-8543,東京都品川区南大井３－２－２,東京都,6050_卸売業,東証１部
7621,飲食店,うかい,（株）うかい,小売業,1968年3月25日,1967年度,http://www.ukai.co.jp/,〒193-0846,東京都八王子市南浅川町３４２６,東京都,6100_小売業,東証JQスタンダード
7623,自動車小売,サンオータス,（株）サンオータス,小売業,1951年5月14日,1951年度,http://www.sunautas.co.jp/,〒222-0033,横浜市港北区新横浜２－４－１５,神奈川県,6100_小売業,東証JQスタンダード
